VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,PU_Borough,PU_Zone,PU_service_zone,DO_Borough,DO_Zone,DO_service_zone,trip_id
2,2023-12-31 23:56:46.000000,2024-01-01 00:12:06.000000,2.0,2.38,1.0,N,236,142,1,15.6,1.0,0.5,1.0,0.0,1.0,21.6,2.5,0.0,Manhattan,Upper East Side North,Yellow Zone,Manhattan,Lincoln Square East,Yellow Zone,256
2,2024-01-01 00:16:55.000000,2024-01-01 00:32:42.000000,1.0,2.67,1.0,N,142,263,1,16.3,1.0,0.5,4.26,0.0,1.0,25.56,2.5,0.0,Manhattan,Lincoln Square East,Yellow Zone,Manhattan,Yorkville West,Yellow Zone,257
2,2024-01-01 00:45:26.000000,2024-01-01 01:24:48.000000,2.0,3.59,1.0,N,141,246,1,31.7,1.0,0.5,3.33,0.0,1.0,40.03,2.5,0.0,Manhattan,Lenox Hill West,Yellow Zone,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,258
1,2024-01-01 00:29:15.000000,2024-01-01 01:10:42.000000,2.0,5.0,1.0,N,90,238,1,40.1,3.5,0.5,9.0,0.0,1.0,54.1,2.5,0.0,Manhattan,Flatiron,Yellow Zone,Manhattan,Upper West Side North,Yellow Zone,259
1,2024-01-01 00:35:35.000000,2024-01-01 00:47:15.000000,4.0,1.8,1.0,N,114,87,1,12.8,3.5,0.5,1.0,0.0,1.0,18.8,2.5,0.0,Manhattan,Greenwich Village South,Yellow Zone,Manhattan,Financial District North,Yellow Zone,260
1,2024-01-01 00:49:42.000000,2024-01-01 00:58:21.000000,0.0,2.9,1.0,N,87,79,1,14.9,3.5,0.5,5.0,0.0,1.0,24.9,2.5,0.0,Manhattan,Financial District North,Yellow Zone,Manhattan,East Village,Yellow Zone,261
2,2024-01-01 00:19:44.000000,2024-01-01 00:25:47.000000,2.0,1.58,1.0,N,238,166,1,8.6,1.0,0.5,2.72,0.0,1.0,16.32,2.5,0.0,Manhattan,Upper West Side North,Yellow Zone,Manhattan,Morningside Heights,Boro Zone,262
2,2024-01-01 00:31:28.000000,2024-01-01 00:46:37.000000,2.0,2.93,1.0,N,151,262,1,17.7,1.0,0.5,5.0,0.0,1.0,27.7,2.5,0.0,Manhattan,Manhattan Valley,Yellow Zone,Manhattan,Yorkville East,Yellow Zone,263
2,2024-01-01 00:49:34.000000,2024-01-01 00:57:21.000000,1.0,1.76,1.0,N,262,237,1,10.0,1.0,0.5,3.0,0.0,1.0,18.0,2.5,0.0,Manhattan,Yorkville East,Yellow Zone,Manhattan,Upper East Side South,Yellow Zone,264
2,2024-01-01 00:20:41.000000,2024-01-01 00:37:37.000000,3.0,2.45,1.0,N,246,79,1,17.0,1.0,0.5,0.0,0.0,1.0,22.0,2.5,0.0,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,Manhattan,East Village,Yellow Zone,265
2,2024-01-01 00:40:46.000000,2024-01-01 00:45:13.000000,2.0,1.16,1.0,N,79,107,1,7.2,1.0,0.5,3.66,0.0,1.0,15.86,2.5,0.0,Manhattan,East Village,Yellow Zone,Manhattan,Gramercy,Yellow Zone,266
2,2024-01-01 00:50:32.000000,2024-01-01 00:54:59.000000,3.0,0.54,1.0,N,164,107,1,5.8,1.0,0.5,1.0,0.0,1.0,11.8,2.5,0.0,Manhattan,Midtown South,Yellow Zone,Manhattan,Gramercy,Yellow Zone,267
2,2024-01-01 00:56:45.000000,2024-01-01 00:59:16.000000,3.0,0.69,1.0,N,107,233,1,5.1,1.0,0.5,2.02,0.0,1.0,12.12,2.5,0.0,Manhattan,Gramercy,Yellow Zone,Manhattan,UN/Turtle Bay South,Yellow Zone,268
1,2024-01-01 00:12:36.000000,2024-01-01 00:17:30.000000,2.0,0.9,1.0,N,236,238,1,7.2,3.5,0.5,2.4,0.0,1.0,14.6,2.5,0.0,Manhattan,Upper East Side North,Yellow Zone,Manhattan,Upper West Side North,Yellow Zone,269
1,2024-01-01 00:23:53.000000,2024-01-01 00:30:53.000000,1.0,1.1,1.0,N,238,263,1,9.3,3.5,0.5,5.0,0.0,1.0,19.3,2.5,0.0,Manhattan,Upper West Side North,Yellow Zone,Manhattan,Yorkville West,Yellow Zone,270
1,2024-01-01 00:39:50.000000,2024-01-01 00:45:56.000000,1.0,1.1,1.0,N,236,237,1,8.6,3.5,0.5,2.45,0.0,1.0,16.05,2.5,0.0,Manhattan,Upper East Side North,Yellow Zone,Manhattan,Upper East Side South,Yellow Zone,271
1,2024-01-01 00:52:03.000000,2024-01-01 00:56:17.000000,2.0,0.7,1.0,N,141,262,1,6.5,3.5,0.5,1.72,0.0,1.0,13.22,2.5,0.0,Manhattan,Lenox Hill West,Yellow Zone,Manhattan,Yorkville East,Yellow Zone,272
1,2024-01-01 00:57:13.000000,2024-01-01 01:01:39.000000,2.0,1.1,1.0,N,262,236,1,7.9,3.5,0.5,2.55,0.0,1.0,15.45,2.5,0.0,Manhattan,Yorkville East,Yellow Zone,Manhattan,Upper East Side North,Yellow Zone,273
2,2024-01-01 00:07:35.000000,2024-01-01 00:35:09.000000,3.0,9.91,1.0,N,132,35,2,42.9,1.0,0.5,0.0,0.0,1.0,47.15,0.0,1.75,Queens,JFK Airport,Airports,Brooklyn,Brownsville,Boro Zone,274
2,2024-01-01 00:54:03.000000,2024-01-01 01:13:02.000000,2.0,3.93,1.0,N,79,262,1,21.2,1.0,0.5,5.24,0.0,1.0,31.44,2.5,0.0,Manhattan,East Village,Yellow Zone,Manhattan,Yorkville East,Yellow Zone,275
2,2024-01-01 00:27:57.000000,2024-01-01 00:30:30.000000,3.0,0.56,1.0,N,237,229,1,5.1,1.0,0.5,2.02,0.0,1.0,12.12,2.5,0.0,Manhattan,Upper East Side South,Yellow Zone,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone,276
2,2024-01-01 00:08:50.000000,2024-01-01 00:32:51.000000,2.0,6.29,1.0,N,43,223,1,29.6,1.0,0.5,5.0,0.0,1.0,39.6,2.5,0.0,Manhattan,Central Park,Yellow Zone,Queens,Steinway,Boro Zone,277
2,2024-01-01 00:53:42.000000,2024-01-01 01:23:16.000000,3.0,11.82,1.0,N,138,188,1,50.6,6.0,0.5,8.0,0.0,1.0,67.85,0.0,1.75,Queens,LaGuardia Airport,Airports,Brooklyn,Prospect-Lefferts Gardens,Boro Zone,278
